Effective.Date,State,State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Uncleaned.Data,Department.Of.Labor.Cleaned.Low.Value,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value,Department.Of.Labor.Cleaned.High.Value.2020.Dollars,Footnote
1968-01-01,Alabama,0,0,1.15,8.55,1.15,8.55,34.8,...,0,0,0,0,NA
1968-01-01,Alaska,2.1,15.61,1.15,8.55,2.1,15.61,34.8,2.1,2.1,15.61,2.1,15.61,NA
1968-01-01,Arizona,0.468,3.48,1.15,8.55,1.15,8.55,34.8,18.72 - 26.40/wk(b),0.468,3.48,0.66,4.91,(b)
1968-01-01,Arkansas,0.15625,1.16,1.15,8.55,1.15,8.55,34.8,1.25/day(b),0.15625,1.16,0.15625,1.16,(b)
1968-01-01,California,1.65,12.26,1.15,8.55,1.65,12.26,34.8,1.65(b),1.65,12.26,1.65,12.26,(b)
1968-01-01,Colorado,1,7.43,1.15,8.55,1.15,8.55,34.8,1.00 - 1.25(b),1,7.43,1.25,9.29,(b)
1968-01-01,Connecticut,1.4,10.41,1.15,8.55,1.4,10.41,34.8,1.4,1.4,10.41,1.4,10.41,NA
1968-01-01,Delaware,1.25,9.29,1.15,8.55,1.25,9.29,34.8,1.25,1.25,9.29,1.25,9.29,NA
1968-01-01,District of Columbia,1.25,9.29,1.15,8.55,1.25,9.29,34.8,1.25 - 1.40,1.25,9.29,1.4,10.41,NA
1968-01-01,Florida,0,0,1.15,8.55,1.15,8.55,34.8,...,0,0,0,0,NA
1968-01-01,Georgia,0,0,1.15,8.55,1.15,8.55,34.8,...,0,0,0,0,NA
1968-01-01,Guam,1.25,9.29,1.15,8.55,1.25,9.29,34.8,1.25,1.25,9.29,1.25,9.29,NA
1968-01-01,Hawaii,1.25,9.29,1.15,8.55,1.25,9.29,34.8,1.25,1.25,9.29,1.25,9.29,NA
1968-01-01,Idaho,1.15,8.55,1.15,8.55,1.15,8.55,34.8,1.15,1.15,8.55,1.15,8.55,NA
1968-01-01,Illinois,0,0,1.15,8.55,1.15,8.55,34.8,...,0,0,0,0,NA
1968-01-01,Indiana,1.15,8.55,1.15,8.55,1.15,8.55,34.8,1.15,1.15,8.55,1.15,8.55,NA
1968-01-01,Iowa,0,0,1.15,8.55,1.15,8.55,34.8,...,0,0,0,0,NA
1968-01-01,Kansas,0,0,1.15,8.55,1.15,8.55,34.8,...,0,0,0,0,NA
1968-01-01,Kentucky,0.65,4.83,1.15,8.55,1.15,8.55,34.8,.65 - .75(b),0.65,4.83,0.75,5.57,(b)
1968-01-01,Louisiana,0,0,1.15,8.55,1.15,8.55,34.8,...,0,0,0,0,NA
1968-01-01,Maine,1.4,10.41,1.15,8.55,1.4,10.41,34.8,1.4,1.4,10.41,1.4,10.41,NA
1968-01-01,Maryland,1,7.43,1.15,8.55,1.15,8.55,34.8,1.00 & 1.15,1,7.43,1.15,8.55,NA
1968-01-01,Massachusetts,1.6,11.89,1.15,8.55,1.6,11.89,34.8,1.6,1.6,11.89,1.6,11.89,NA
1968-01-01,Michigan,1.25,9.29,1.15,8.55,1.25,9.29,34.8,1.25,1.25,9.29,1.25,9.29,NA
1968-01-01,Minnesota,0.7,5.2,1.15,8.55,1.15,8.55,34.8,.70 - 1.15(b),0.7,5.2,1.15,8.55,(b)
1968-01-01,Mississippi,0,0,1.15,8.55,1.15,8.55,34.8,...,0,0,0,0,NA
1968-01-01,Missouri,0,0,1.15,8.55,1.15,8.55,34.8,...,0,0,0,0,NA
1968-01-01,Montana,0,0,1.15,8.55,1.15,8.55,34.8,...,0,0,0,0,NA
1968-01-01,Nebraska,1,7.43,1.15,8.55,1.15,8.55,34.8,1,1,7.43,1,7.43,NA
1968-01-01,Nevada,1.25,9.29,1.15,8.55,1.25,9.29,34.8,1.25,1.25,9.29,1.25,9.29,NA
1968-01-01,New Hampshire,1.4,10.41,1.15,8.55,1.4,10.41,34.8,1.4,1.4,10.41,1.4,10.41,NA
1968-01-01,New Jersey,1.4,10.41,1.15,8.55,1.4,10.41,34.8,1.4,1.4,10.41,1.4,10.41,NA
1968-01-01,New Mexico,1.15,8.55,1.15,8.55,1.15,8.55,34.8,1.15 - 1.40,1.15,8.55,1.4,10.41,NA
1968-01-01,New York,1.6,11.89,1.15,8.55,1.6,11.89,34.8,1.6,1.6,11.89,1.6,11.89,NA
1968-01-01,North Carolina,1,7.43,1.15,8.55,1.15,8.55,34.8,1,1,7.43,1,7.43,NA
