year,state,pres_elect
1976,Alabama,DEMOCRAT (55.73%)
1977,Alabama,DEMOCRAT (55.73%)
1978,Alabama,DEMOCRAT (55.73%)
1979,Alabama,DEMOCRAT (55.73%)
1980,Alabama,REPUBLICAN (48.75%)
1981,Alabama,REPUBLICAN (48.75%)
1982,Alabama,REPUBLICAN (48.75%)
1983,Alabama,REPUBLICAN (48.75%)
1984,Alabama,REPUBLICAN (60.54%)
1985,Alabama,REPUBLICAN (60.54%)
1986,Alabama,REPUBLICAN (60.54%)
1987,Alabama,REPUBLICAN (60.54%)
1988,Alabama,REPUBLICAN (59.17%)
1989,Alabama,REPUBLICAN (59.17%)
1990,Alabama,REPUBLICAN (59.17%)
1991,Alabama,REPUBLICAN (59.17%)
1992,Alabama,REPUBLICAN (47.65%)
1993,Alabama,REPUBLICAN (47.65%)
1994,Alabama,REPUBLICAN (47.65%)
1995,Alabama,REPUBLICAN (47.65%)
1996,Alabama,REPUBLICAN (50.12%)
1997,Alabama,REPUBLICAN (50.12%)
1998,Alabama,REPUBLICAN (50.12%)
1999,Alabama,REPUBLICAN (50.12%)
2000,Alabama,REPUBLICAN (56.48%)
2001,Alabama,REPUBLICAN (56.48%)
2002,Alabama,REPUBLICAN (56.48%)
2003,Alabama,REPUBLICAN (56.48%)
2004,Alabama,REPUBLICAN (62.46%)
2005,Alabama,REPUBLICAN (62.46%)
2006,Alabama,REPUBLICAN (62.46%)
2007,Alabama,REPUBLICAN (62.46%)
2008,Alabama,REPUBLICAN (60.32%)
2009,Alabama,REPUBLICAN (60.32%)
2010,Alabama,REPUBLICAN (60.32%)
2011,Alabama,REPUBLICAN (60.32%)
2012,Alabama,REPUBLICAN (60.55%)
2013,Alabama,REPUBLICAN (60.55%)
2014,Alabama,REPUBLICAN (60.55%)
2015,Alabama,REPUBLICAN (60.55%)
2016,Alabama,REPUBLICAN (62.08%)
2017,Alabama,REPUBLICAN (62.08%)
2018,Alabama,REPUBLICAN (62.08%)
2019,Alabama,REPUBLICAN (62.08%)
2020,Alabama,REPUBLICAN (62.03%)
1976,Alaska,REPUBLICAN (57.9%)
1977,Alaska,REPUBLICAN (57.9%)
1978,Alaska,REPUBLICAN (57.9%)
1979,Alaska,REPUBLICAN (57.9%)
1980,Alaska,REPUBLICAN (54.35%)
1981,Alaska,REPUBLICAN (54.35%)
1982,Alaska,REPUBLICAN (54.35%)
1983,Alaska,REPUBLICAN (54.35%)
1984,Alaska,REPUBLICAN (66.65%)
1985,Alaska,REPUBLICAN (66.65%)
1986,Alaska,REPUBLICAN (66.65%)
1987,Alaska,REPUBLICAN (66.65%)
1988,Alaska,REPUBLICAN (59.59%)
1989,Alaska,REPUBLICAN (59.59%)
1990,Alaska,REPUBLICAN (59.59%)
1991,Alaska,REPUBLICAN (59.59%)
1992,Alaska,REPUBLICAN (39.46%)
1993,Alaska,REPUBLICAN (39.46%)
1994,Alaska,REPUBLICAN (39.46%)
1995,Alaska,REPUBLICAN (39.46%)
1996,Alaska,REPUBLICAN (50.8%)
1997,Alaska,REPUBLICAN (50.8%)
1998,Alaska,REPUBLICAN (50.8%)
1999,Alaska,REPUBLICAN (50.8%)
2000,Alaska,REPUBLICAN (58.62%)
2001,Alaska,REPUBLICAN (58.62%)
2002,Alaska,REPUBLICAN (58.62%)
2003,Alaska,REPUBLICAN (58.62%)
2004,Alaska,REPUBLICAN (61.07%)
2005,Alaska,REPUBLICAN (61.07%)
2006,Alaska,REPUBLICAN (61.07%)
2007,Alaska,REPUBLICAN (61.07%)
2008,Alaska,REPUBLICAN (59.42%)
2009,Alaska,REPUBLICAN (59.42%)
2010,Alaska,REPUBLICAN (59.42%)
2011,Alaska,REPUBLICAN (59.42%)
2012,Alaska,REPUBLICAN (54.8%)
2013,Alaska,REPUBLICAN (54.8%)
2014,Alaska,REPUBLICAN (54.8%)
2015,Alaska,REPUBLICAN (54.8%)
2016,Alaska,REPUBLICAN (51.28%)
2017,Alaska,REPUBLICAN (51.28%)
2018,Alaska,REPUBLICAN (51.28%)
2019,Alaska,REPUBLICAN (51.28%)
2020,Alaska,REPUBLICAN (52.83%)
1976,Arizona,REPUBLICAN (56.37%)
1977,Arizona,REPUBLICAN (56.37%)
1978,Arizona,REPUBLICAN (56.37%)
1979,Arizona,REPUBLICAN (56.37%)
1980,Arizona,REPUBLICAN (60.61%)
1981,Arizona,REPUBLICAN (60.61%)
1982,Arizona,REPUBLICAN (60.61%)
1983,Arizona,REPUBLICAN (60.61%)
1984,Arizona,REPUBLICAN (66.42%)
1985,Arizona,REPUBLICAN (66.42%)
1986,Arizona,REPUBLICAN (66.42%)
1987,Arizona,REPUBLICAN (66.42%)
1988,Arizona,REPUBLICAN (59.95%)
1989,Arizona,REPUBLICAN (59.95%)
1990,Arizona,REPUBLICAN (59.95%)
1991,Arizona,REPUBLICAN (59.95%)
1992,Arizona,REPUBLICAN (38.47%)
1993,Arizona,REPUBLICAN (38.47%)
1994,Arizona,REPUBLICAN (38.47%)
1995,Arizona,REPUBLICAN (38.47%)
1996,Arizona,DEMOCRAT (46.52%)
1997,Arizona,DEMOCRAT (46.52%)
1998,Arizona,DEMOCRAT (46.52%)
1999,Arizona,DEMOCRAT (46.52%)
2000,Arizona,REPUBLICAN (51.02%)
2001,Arizona,REPUBLICAN (51.02%)
2002,Arizona,REPUBLICAN (51.02%)
2003,Arizona,REPUBLICAN (51.02%)
2004,Arizona,REPUBLICAN (54.87%)
2005,Arizona,REPUBLICAN (54.87%)
2006,Arizona,REPUBLICAN (54.87%)
2007,Arizona,REPUBLICAN (54.87%)
2008,Arizona,REPUBLICAN (53.64%)
2009,Arizona,REPUBLICAN (53.64%)
2010,Arizona,REPUBLICAN (53.64%)
2011,Arizona,REPUBLICAN (53.64%)
2012,Arizona,REPUBLICAN (53.65%)
2013,Arizona,REPUBLICAN (53.65%)
2014,Arizona,REPUBLICAN (53.65%)
2015,Arizona,REPUBLICAN (53.65%)
2016,Arizona,REPUBLICAN (48.67%)
2017,Arizona,REPUBLICAN (48.67%)
2018,Arizona,REPUBLICAN (48.67%)
2019,Arizona,REPUBLICAN (48.67%)
2020,Arizona,DEMOCRAT (49.36%)
1976,Arkansas,DEMOCRAT (64.96%)
1977,Arkansas,DEMOCRAT (64.96%)
1978,Arkansas,DEMOCRAT (64.96%)
1979,Arkansas,DEMOCRAT (64.96%)
1980,Arkansas,REPUBLICAN (48.13%)
1981,Arkansas,REPUBLICAN (48.13%)
1982,Arkansas,REPUBLICAN (48.13%)
1983,Arkansas,REPUBLICAN (48.13%)
1984,Arkansas,REPUBLICAN (60.47%)
1985,Arkansas,REPUBLICAN (60.47%)
1986,Arkansas,REPUBLICAN (60.47%)
1987,Arkansas,REPUBLICAN (60.47%)
1988,Arkansas,REPUBLICAN (56.37%)
1989,Arkansas,REPUBLICAN (56.37%)
1990,Arkansas,REPUBLICAN (56.37%)
1991,Arkansas,REPUBLICAN (56.37%)
1992,Arkansas,DEMOCRAT (53.21%)
1993,Arkansas,DEMOCRAT (53.21%)
1994,Arkansas,DEMOCRAT (53.21%)
1995,Arkansas,DEMOCRAT (53.21%)
1996,Arkansas,DEMOCRAT (53.74%)
1997,Arkansas,DEMOCRAT (53.74%)
1998,Arkansas,DEMOCRAT (53.74%)
1999,Arkansas,DEMOCRAT (53.74%)
2000,Arkansas,REPUBLICAN (51.31%)
2001,Arkansas,REPUBLICAN (51.31%)
2002,Arkansas,REPUBLICAN (51.31%)
2003,Arkansas,REPUBLICAN (51.31%)
2004,Arkansas,REPUBLICAN (54.31%)
2005,Arkansas,REPUBLICAN (54.31%)
2006,Arkansas,REPUBLICAN (54.31%)
2007,Arkansas,REPUBLICAN (54.31%)
2008,Arkansas,REPUBLICAN (58.72%)
2009,Arkansas,REPUBLICAN (58.72%)
2010,Arkansas,REPUBLICAN (58.72%)
2011,Arkansas,REPUBLICAN (58.72%)
2012,Arkansas,REPUBLICAN (60.57%)
2013,Arkansas,REPUBLICAN (60.57%)
2014,Arkansas,REPUBLICAN (60.57%)
2015,Arkansas,REPUBLICAN (60.57%)
2016,Arkansas,REPUBLICAN (60.57%)
2017,Arkansas,REPUBLICAN (60.57%)
2018,Arkansas,REPUBLICAN (60.57%)
2019,Arkansas,REPUBLICAN (60.57%)
2020,Arkansas,REPUBLICAN (62.4%)
1976,California,REPUBLICAN (49.75%)
1977,California,REPUBLICAN (49.75%)
1978,California,REPUBLICAN (49.75%)
1979,California,REPUBLICAN (49.75%)
1980,California,REPUBLICAN (52.7%)
1981,California,REPUBLICAN (52.7%)
1982,California,REPUBLICAN (52.7%)
1983,California,REPUBLICAN (52.7%)
1984,California,REPUBLICAN (57.52%)
1985,California,REPUBLICAN (57.52%)
1986,California,REPUBLICAN (57.52%)
1987,California,REPUBLICAN (57.52%)
1988,California,REPUBLICAN (51.13%)
1989,California,REPUBLICAN (51.13%)
1990,California,REPUBLICAN (51.13%)
1991,California,REPUBLICAN (51.13%)
1992,California,DEMOCRAT (46.01%)
1993,California,DEMOCRAT (46.01%)
1994,California,DEMOCRAT (46.01%)
1995,California,DEMOCRAT (46.01%)
1996,California,DEMOCRAT (51.1%)
1997,California,DEMOCRAT (51.1%)
1998,California,DEMOCRAT (51.1%)
1999,California,DEMOCRAT (51.1%)
2000,California,DEMOCRAT (53.45%)
2001,California,DEMOCRAT (53.45%)
2002,California,DEMOCRAT (53.45%)
2003,California,DEMOCRAT (53.45%)
2004,California,DEMOCRAT (54.31%)
2005,California,DEMOCRAT (54.31%)
2006,California,DEMOCRAT (54.31%)
2007,California,DEMOCRAT (54.31%)
2008,California,DEMOCRAT (61.01%)
2009,California,DEMOCRAT (61.01%)
2010,California,DEMOCRAT (61.01%)
2011,California,DEMOCRAT (61.01%)
